,Job Title,Company Name: ,Location,Country,Employment Type,Experience Needed,Description,Requirments
10,Senior Data Analyst,Z2 Data,"Nasr City, Cairo", Egypt,['Full Time'],Experienced,"['Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data', 'Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects', 'Establish rules and procedures for data sharing with upper management, external stakeholders etc', 'Support others in the daily use of data systems and ensure adherence to legal and company standards', 'Assist with reports and data extraction when needed', 'Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc', 'Ensure digital databases and archives are protected from security breaches and data losses', 'Troubleshoot data-related problems and authorize maintenance or modifications', 'We are looking for an experienced Senior Data Analyst to oversee the development and use of data systems', 'You will discover efficient ways to organize, store and analyze data with attention to security and confidentiality', 'You should be able to fully grasp the complexity of data management', 'The ideal candidate will have a strong understanding of databases and data analysis procedures', 'You will also be tech-savvy and possess excellent troubleshooting skills', 'The goal is to ensure that information flows timely and securely to and from the organization as well as within']","['Proven experience as Senior Data Analyst minimum 2 years', 'Excellent understanding of data administration and management functions (collection, analysis, distribution etc', 'Familiarity with modern database and information system technologies', 'Proficient in MS Office (Excel, Access, Word, PowerPoint etc', 'An analytical mindset with problem-solving skills', 'Excellent communication and collaboration skills']"
11,Senior Financial Data Analyst,Z2 Data,"Nasr City, Cairo", Egypt,['Full Time'],Experienced,"['Analyzing the extracted information from the financial statements', 'Handling R&D and enhancing the operational techniques used to improve the data procedures in best possible way and facilitate the operational daily work of the teams', 'Assigning Targets and setting plans for the teams according to the business needs', 'Prepare and deliver the necessary training needed for new comers', 'Supporting the new comers and teams on daily basis to ensure the process is implemented', 'Testing the data inserted in the system and reporting any issue occurred in the process', 'Assisting the Financial Analysis Manager in daily technical tasks', 'Reporting to the Finance Manager the operation progress on a weekly basis']","['Bachelor degree of English Commerce is a Must', 'Gender: Male or female', 'Maximum age to apply', 'Excellent English Command', 'CFA Certificate is Preferable or “On Going', 'Must have experience in Financial Analysis from 3-5 years', 'Strong Communication skills, Researching skills, data gathering, data analysis, financial statements, must meeting the deadline, reporting skills, leadership skills']"
12,Junior Financial Data Analyst,Z2 Data,"Nasr City, Cairo", Egypt,['Full Time'],Entry Level,"['Analyzing the extracted information from the financial statements', 'Handling R&D and enhancing the operational techniques used to improve the data procedures in best possible way and facilitate the operational daily work of the teams', 'Supporting the new comers and teams on daily basis to ensure the process is implemented', 'Testing the data inserted in the system and reporting any issue occurred in the process', 'Assisting the Financial Analysis Manager in daily technical tasks', 'Reporting to the Finance Manager the operation progress on a weekly basis']","['Bachelor degree of English Commerce is a Must', 'Gender: Male or female', 'Maximum age to apply', 'Excellent English Command', 'Strong Communication skills, Researching skills, data gathering, data analysis, financial statements, must meeting the deadline, reporting skills, leadership skills']"
13,Data Analyst - Banha,Z2 Data,"Banha, Qalubia", Egypt,['Full Time'],Entry Level,"['Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data', 'Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects', 'Support others in the daily use of data systems and ensure adherence to legal and company standards', 'Assist with reports and data extraction when needed', 'Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc', 'Ensure digital databases and archives are protected from security breaches and data losses', 'Troubleshoot data-related problems and authorize maintenance or modifications']","['A Graduate of Faculty of commerce', 'Very good understanding of English', 'Very good in MS office package', 'Males or Female only']"
14,Data Entry Clerk,Parkville Pharmaceuticals,"Qalyub, Qalubia", Egypt,['Full Time'],Experienced,"['Insert customer/account or task data by inputting text-based and numerical information from source documents within time limits in addition to compiling/verifying the accuracy and sorting information according to priorities to prepare source data for computer entry', 'Review data for deficiencies or errors, correct any incompatibilities if possible, and check the output besides research / obtain further information for incomplete documents in addition to applying data program techniques and procedures', 'Generate reports, store completed work in designated locations, and perform backup operations regularly in order to secure the supply chain data', 'Record / Maintain the required ISO documents and data besides keeping the information confidential in addition to scan documents and printing files when needed', 'Respond to queries for information and access relevant files besides complying with data integrity and security policies while ensuring proper use of office equipment and addressing any malfunctions', 'Testing new database systems and software updates to be easily used by other people for reference/reports, or making decisions', 'Insert data of sales orders once received into the system in addition to following up with Finance for issuing the invoices in order to foster the inventory movement']","['Microsoft Office applications (Excel, Word, Power Point', 'Detailed Oriented', 'Organization Skills', 'Bachelor’s degree from reputable university', 'Experience 3-5 years in similar role / responsibilities']"
15,Junior Data Analyst,Z2 Data,"Nasr City, Cairo", Egypt,['Full Time'],Entry Level,"['Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data', 'Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects', 'Support others in the daily use of data systems and ensure adherence to legal and company standards', 'Assist with reports and data extraction when needed', 'Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc', 'Ensure digital databases and archives are protected from security breaches and data losses', 'Troubleshoot data-related problems and authorize maintenance or modifications']","['A Graduate of Faculty of commerce', 'Very good understanding of English', 'Very good in MS office package', 'Males or Female']"
16,Data Analyst,Arma Foods,"New Cairo, Cairo", Egypt,['Full Time'],Experienced,"['Develop the data analytics methods to collect relevant data from different sources in order to meet the needs of business growth', 'Analyze and solve consumers’ queries by providing information on complex processes and the related policies, referring to others where necessary for interpretation of data', 'Translate business questions into learning plans and then develop and conduct research studies to collect data to develop insights', 'Make sure that there is effective communication of market and consumer data', 'Communicate findings, through data visualization, with concerned business teams to develop decision-making based on the data and insights available', 'Deal with departments’ leaders to identify opportunities & strengths for better process improvements, recommend system modifications, and develop policies', 'Use different statistical tools to interpret data sets, paying particular attention to trends and patterns that could be valuable for diagnostic and predictive analytics efforts', 'Prepare reports for stakeholders to help them make the right decisions and solve big issues in the right way']","['Degree\xa0in\xa0Business,\xa0Technology,\xa0Engineering,\xa0or\xa0a\xa0related\xa0field', 'to\xa05 years\xa0of\xa0experience in\xa0business\xa0analysis\xa0&\xa0data\xa0analysis', 'Excellent\xa0Command of\xa0English', 'Experience in using SAP system is a must', 'Good Knowledge at Sales BUZZ', 'IT background', 'High\xa0Command\xa0of report\xa0generating\xa0software\xa0like\xa0Power\xa0BI,\xa0Tableau or\xa0SSRS', 'Good\xa0Knowledge\xa0of\xa0analytic/programming\xa0languages\xa0like\xa0SQL,\xa0Python or\xa0R', 'Experience\xa0with\xa0Business\xa0Process&\xa0Task\xa0Management\xa0tools\xa0e.g.,\xa0Click Up,\xa0Trello,\xa0Monday...etc', 'Excellent analytical & reporting skills']"
17,Financial Planning & Analysis Section Head,Confidential,Gharbia, Egypt,['Full Time'],Senior Management,"['Drives annual budget process, monthly re-forecasts, long-range planning, and on-going reporting vs. plan', 'Creates, updates , and maintain financial models and detailed forecasts of the company’s future operational performance', 'Monitor and Control Budget Expenses and CAPEX Monthly ,Quarter and Year', 'Support the monthly close process through ownership of core models and templates', 'Partner with functional leads to analyze and improve expense performance, identify forecast risks and opportunities', 'Analyze monthly, quarterly business results, KPIs, trends, and synthesize results / critical business insights to leadership and present the results to CFO , Owners & BOD', 'Create, manage, and automate operational reports and dashboards to monitor the performance of the business']","['Bachelor’s Degree in Finance/Accounting', 'At least 5-7 years of Financial Planning & Analysis experience', 'Knowledge of Oracle Systems is a Plus', 'Exceptional data analysis and reporting capabilities', 'CMA, AFA, or any similar certificate in Finance (Preferable', 'Must possess advanced Excel and PowerPoint skills', 'Effective Communication & Leadership Skills']"
18,Data Analyst| MIS,GlobeMed Egypt,"Maadi, Cairo", Egypt,['Full Time'],Experienced,"['Understanding business requirements and plan solutions to address data needs', 'Develop, design, maintain, test, and publish Tableau dashboards and analytics, and schedule refresh', 'Collect, refine, and prepare data from various data sources for analytics and visualization', 'Manage and utilize the Tableau platform to extract meaningful insights from it', 'Manage Tableau-driven implementations, architecture, and administration', 'Partner with IT teams and business professionals to establish data-driven policies and strategies across the organization', 'Drill-down data and prepare reports with utmost accuracy using various visualization and data modeling methods', 'Define access controls and implement security measures whenever required', 'Improve overall process in data management, collection, dashboard design, and entire product life-cycle', 'Solving any data or performance issues related to workbooks and data sources', 'Monitoring reports and dashboards and making necessary changes', 'Actively manage the performance and usability of Tableau to get the desired result']","['Bachelor’s degree in Computer Science, Management Information Systems, Mathematics or related field – Masters is a plus', 'to 5 years of experience in data analysis – preferable in the health insurance sector', 'Certification in SAS or Tableau is preferable', 'Sound knowledge and experience in SAS programming, Microsoft Excel and SQL', 'Proficiency in analytics and database querying tools', 'Extensive experience in developing and managing dashboards and reports in Tableau', 'Excellent analytical skills to forecast and predict trends and insights using past and current data', 'Knowledge of data architecture, data modeling, data mapping, data analysis, and data visualization', 'Able to manipulate and blend data in order to design dashboards and visualization', 'Knowledge of data migration, BI tools integration, and extensions', 'Knowledge of code integration and languages like R and Python', 'Understanding of data security and its implementation', 'Knowledge of\xa0DevOps\xa0and basic project development lifecycle']"
19,Data Scientist “Mathematics/Physics,Dafa,Cairo, Egypt,['Full Time'],Experienced,"['We are looking for someone with 7-10 years of experience mining/manipulating data sets and building statistical models, has a Master’s or PHD in Physics/Statistics, Mathematics, Computer Science or another quantitative field', 'Job Description', 'Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions', 'Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies', 'Assess the effectiveness and accuracy of new data sources and data gathering techniques', 'Develop custom data models and algorithms to apply to data sets', 'Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes', 'Develop company A/B testing framework and test model quality', 'Coordinate with different functional teams to implement models and monitor outcomes', 'Develop processes and tools to monitor and analyze model performance and data accuracy']","['Strong problem solving skills with an emphasis on product development', 'Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets', 'Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc', 'Experience working with and creating data architectures', 'Coding knowledge and experience with several languages: C, C++, Java', 'JavaScript, etc', 'Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc', 'Experience querying databases and using statistical computer languages: R, Python, SLQ, etc', 'Experience using web services: Redshift, S3, Spark, DigitalOcean, etc', 'Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc', 'Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc', 'Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc', 'Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc']"
20,Senior Data Insights Specialist,WUZZUF,Cairo, Egypt,"['Full Time', 'Work From Home']",Experienced,"['The purpose of the Data Insights role is to translate data into meaningful information that promotes business performance and enables data-driven decision-making', 'The Data Insights Specialist is responsible to create data models and providing visibility and analysis over key business measurements and performance indicators within the customer organization', ""This includes assessing and defining requirements, designing tailored analytical models based on business stakeholders' needs, and creating fully digitized dashboards that meet the acceptance criteria"", 'Providing data and business insights based on the trends, patterns, and anomalies observed represents the added value that the role can bring to the business']","['Segments Marketing', 'Marketing Analytics', 'Business Development and Partnerships', 'Sales & Customer Success', 'Product', 'Finance']"
21,Financial Planning & Analysis Section Head,Nahdet Misr Publishing Group,"Mohandessin, Giza", Egypt,['Full Time'],Manager,"['Manage preparation of annual budget, forecast plans and monthly cash flow taking into account changes in tactical and strategic plans, operations, trends', 'Develop and execute monthly and quarterly reports and any ad-hoc reporting and analysis as needed', 'Works closely with all Organization’s heads to make sure the required data is provided; decisions are assessed financially', 'Works with all functions on ensuring clear visibility on results and proper control of OPEX, CAPEX spending of all departments and sales', 'Provide decision support & feasibility studies for acquisitions & investments', 'Ensures alignment with management goals and prepares presentations required for management reviews', 'Responsible for all financial/managerial reporting in corporate systems and supports other functions reporting', 'Ensures compliance with corporate policies and procedures from reporting aspect and ensures the proper documentation of all supporting documents', 'Supports other functions in completing their reporting (Ex. Headcount, BI assumptions, etc', 'Monitor & evaluate materials’ consumption, labor efficiency and overheads in order to drive cost savings project, analyze budget versus actual variance and changes in P&L & cash flow', 'Manage and develop senior financial analysts concerning report creation, quality, accuracy and timeliness']","['Bachelor’s degree in Accounting / Business Administration/ Economics is required', 'CMA, CFA or CPA is preferred', 'years of work experience in Financial Analysis “3 years in managerial role', 'Excellent command of Microsoft Excel', 'ERP experience are needed preferably in SAP', 'Ability to negotiate, solve problems and make effective decisions with strong analytical skills', 'Fluency in English']"
22,Senior Marketing Executive,MQJC.TECHNOLOGY,Cairo, Egypt,['Full Time'],Experienced,"[""Social media daily operation: Familiar with various social media channels, such as Meta(Facebook), Instagram, YouTube, Tik Tok, Twitter,etc. Responsible for the daily operation of Apps's social media official accounts"", 'Event and content support: Develop and execute online or offline promotion plans with in-app activities. Plan corresponding social media and offline activities, and word-of-mouth topics independently. Edit & publish high-quality and timely content and copywriting, social media data analysis', ""Fan relationship maintenance: Maintain the relationship between the brand and fans/users through online social media and offline activities, enhance the linkage between fans and the company, and enhance users' understanding and support for the company's values"", ""Marketing communication and business relationship development: Based on the company's business development needs, actively develop resources like PR, media agency, KOL, BBS, bloggers, news media, offline partnership, cross-brand collaboration etc""]","[""Bachelor's degree in marketing, advertising, media, or related"", 'Must proficient in Arabic, English and Mandarin', ""Over 2 year's professional experience in social media, marketing or brand-related positions. Social apps/games/mobile internet industry is a plus"", 'Attach working portfolio with the resume', 'Media and offline resource(School, government, media agency, etc.) on the local market is a plus', 'Good logical and data analysis ability, fast learning ability, and teamwork spirit']"
23,Senior Data Analyst,Alarabia Group,"th of Ramadan City, Cairo", Egypt,['Full Time'],Experienced,"['To understand business requirements in the BI context and design data models to convert raw data to meaningful insights', 'To create dashboards and visual interactive reports using Power BI', 'To identify KPIs with clear objectives and monitor them consistently', 'To analyze data and present it through reports that can help in decision-making', 'To design, develop, and deploy Power BI scripts and perform efficient detailed analysis', 'To perform DAX queries and functions in Power BI', 'To create charts and document data with algorithms, parameters, models, and relations explanations', 'To perform SQL querying for best results', 'To use filters and graphs for a better understanding of the data', 'To define and design new systems by analyzing current ETL processes', 'To make technical changes to existing BI systems in order to enhance their working', 'Develop and execute database queries and conduct analysis', 'Maintain and support data analytics platforms']","['BSc/BA in Computer Science or relevant field', 'to 5 Years of experience in the same position', 'Experience in PowerBI dashboard design, development and publishing', 'Experienced in analyzing data outside PowerBI using other tools', 'Very good knowledge of (SQL queries),, (SSRS) and (SSIS', 'Background in data warehouse design (e.g. dimensional modeling) and data mining', 'In-depth understanding of database management systems', 'Familiarity with BI technologies (MS Power BI or similar tools']"
24,Business System Analyst,The Food Lab,"Maadi, Cairo", Egypt,['Full Time'],Entry Level,"['Responsible and accountable to maintain Operation business systems at a high-quality level of consistency and accuracy all the time', 'Responsible to extract actionable insights from business systems and communicate the actions needed with cross-functional teams', 'Assess and resolve data quality issues and provide technical support to different stakeholders', 'Collaborate with cross-functional teams on identifying business/product opportunities', 'Coordinate and assess the business platforms/applications updates impact on business users', 'Constantly be on the lookout for new tools to improve the business and deliver better value']","['Bachelor’s degree from an accredited university', 'Ability to translate business requirements into non-technical', 'Work experience as a data analyst or in a related field', 'Ability to work with stakeholders to assess potential risks', 'Ability to analyze existing tools and databases', 'Proficiency with data analysis and visualization', 'Ability and flexibility to take initiative and multi-task in projects from initiation to completion']"
25,Quality Assurance Specialist,Future Group,"Dokki, Giza", Egypt,['Full Time'],Experienced,"['Manage QMS process improvement', 'Manage auditing process (internal, & external) and handle audit disputes', 'Conduct new processes, and QMS refreshment sessions for current employees and newcomers training', 'Tracking the corrective action implementation', 'Develop Monitoring reports', 'Enhance the process flow']","['Bachelors degree', 'At least 2 years of experience in the localization field OR at least 2 years of experience in the quality management function', 'Excellent command of the English language', 'Experience in data collection, data analysis, and reporting (statistical or six sigma courses are preferable', 'Proficiency in MS Office applications; high proficiency and advanced excel knowledge', 'Excellent communication and interpersonal skills', 'Attention to detail']"
26,Process Development Assistants (All Locations in Egypt,Trevor Sadd Associates,Cairo, Egypt,"['Full Time', 'Freelance / Project', 'Work From Home']",Entry Level,"['Interesting and challenging environment in which PDAs get to make a significant contributionThe opportunity for PDAs to open up and freely express their ideasA fun loving and comfortable working environment', 'The opportunity for PDAs to open up and freely express their ideas', 'A fun loving and comfortable working environment', 'A regular supply of work (up to 50 hours per week', 'Flexible working hours', 'The ability to work from your chosen location', 'Regular monthly payment (within 72 hours of invoice', 'Extensive training program (which is provided free of charge and for which TSA pays trainees for the time that it takes them to complete']","['Process Development Writer:\xa0\xa0Items 1- 7 with a particular strengths in', 'Process Development Analyst:\xa0 Items 1-7\xa0 with a particular strengths in 3 and']"
